genre,color
J-Pop,#FF69B4
Rock,#0000FF
Pop,#FFC0CB
Country,#A52A2A
Electronic,#00FFFF
Classical,#FFFF00
Jazz,#800080
Hip-Hop,#FF4500
Soundtrack,#A9A9A9
